# This file contains raw data of the electoral college.

ID,Year,State,Votes
986,1864,Kansas,3
987,1864,Kentucky,11
988,1864,Louisiana,0
989,1864,Maine,7
990,1864,Maryland,7
991,1864,Massachusetts,12
992,1864,Michigan,8
993,1864,Minnesota,4
994,1864,Mississippi,0
995,1864,Missouri,11
996,1864,Montana,0
997,1864,Nebraska,0
998,1864,Nevada,3
999,1864,New Hampshire,5
1000,1864,New Jersey,7
1001,1864,New Mexico,0
1002,1864,New York,33
1003,1864,North Carolina,0
1004,1864,North Dakota,0
1005,1864,Ohio,21
1006,1864,Oklahoma,0
1007,1864,Oregon,3
1008,1864,Pennsylvania,26
1009,1864,Rhode Island,4
1010,1864,South Carolina,0
1011,1864,South Dakota,0
1012,1864,Tennessee,0
1013,1864,Texas,0
1014,1864,Utah,0
1015,1864,Vermont,5
1016,1864,Virginia,0
1017,1864,Washington,0
1018,1864,West Virginia,5
1019,1864,Wisconsin,8
1020,1864,Wyoming,0
1021,1868,Alabama,8
1022,1868,Alaska,0
1023,1868,Arizona,0
1024,1868,Arkansas,5
1025,1868,California,5
1026,1868,Colorado,0
1027,1868,Connecticut,6
1028,1868,D.C.,0
1029,1868,Delaware,3
1030,1868,Florida,3
1031,1868,Georgia,9
1032,1868,Hawaii,0
1033,1868,Idaho,0
1034,1868,Illinois,16
1035,1868,Indiana,13
1036,1868,Iowa,8
1037,1868,Kansas,3
1038,1868,Kentucky,11
1039,1868,Louisiana,7
1040,1868,Maine,7
1041,1868,Maryland,7
1042,1868,Massachusetts,12
1043,1868,Michigan,8
1044,1868,Minnesota,4
1045,1868,Mississippi,0
1046,1868,Missouri,11
1047,1868,Montana,0
1048,1868,Nebraska,3
1049,1868,Nevada,3
1050,1868,New Hampshire,5
1051,1868,New Jersey,7
1052,1868,New Mexico,0
1053,1868,New York,33
1054,1868,North Carolina,9
1055,1868,North Dakota,0
1056,1868,Ohio,21
1057,1868,Oklahoma,0
1058,1868,Oregon,3
1059,1868,Pennsylvania,26
1060,1868,Rhode Island,4
1061,1868,South Carolina,6
1062,1868,South Dakota,0
1063,1868,Tennessee,10
1064,1868,Texas,0
1065,1868,Utah,0
1066,1868,Vermont,5
1067,1868,Virginia,0
1068,1868,Washington,0
1069,1868,West Virginia,5
1070,1868,Wisconsin,8
1071,1868,Wyoming,0
1072,1872,Alabama,10
1073,1872,Alaska,0
1074,1872,Arizona,0
1075,1872,Arkansas,6
1076,1872,California,6
1077,1872,Colorado,0
1078,1872,Connecticut,6
1079,1872,D.C.,0
1080,1872,Delaware,3
1081,1872,Florida,4
1082,1872,Georgia,11
1083,1872,Hawaii,0
1084,1872,Idaho,0
1085,1872,Illinois,21
1086,1872,Indiana,15
1087,1872,Iowa,11
1088,1872,Kansas,5
1089,1872,Kentucky,12
1090,1872,Louisiana,8
1091,1872,Maine,7
1092,1872,Maryland,8
1093,1872,Massachusetts,13
1094,1872,Michigan,11
1095,1872,Minnesota,5
1096,1872,Mississippi,8
1097,1872,Missouri,15
1098,1872,Montana,0
1099,1872,Nebraska,3
1100,1872,Nevada,3
1101,1872,New Hampshire,5
1102,1872,New Jersey,9
1103,1872,New Mexico,0
1104,1872,New York,35
1105,1872,North Carolina,10
1106,1872,North Dakota,0
1107,1872,Ohio,22
1108,1872,Oklahoma,0
1109,1872,Oregon,3
